name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,namespace,repository_url,homepage
dynamic-dedupe,76793,41,1828.4,thlorenz,1,,https://github.com/thlorenz/dynamic-dedupe,https://github.com/thlorenz/dynamic-dedupe
sum-up,76615,21,3482.5,shinnn,1,,https://github.com/shinnn/sum-up,https://github.com/shinnn/sum-up
xhr-request-promise,76351,73,1031.8,VictorTaelin,1,,https://github.com/maiavictor/xhr-request-promise,https://github.com/maiavictor/xhr-request-promise#readme
is-cwebp-readable,76067,13,5433.4,shinnn,1,,https://github.com/shinnn/is-cwebp-readable,https://github.com/shinnn/is-cwebp-readable#readme
time-diff,75927,20,3615.6,jonschlinkert,1,,https://github.com/jonschlinkert/time-diff,https://github.com/jonschlinkert/time-diff
lodash._baseindexof,75763,54,1377.5,lodash,2,,https://github.com/lodash/lodash,https://lodash.com/
lodash._createcache,75675,48,1544.4,lodash,2,,https://github.com/lodash/lodash,https://lodash.com/
lodash._cacheindexof,75674,48,1544.4,lodash,2,,https://github.com/lodash/lodash,https://lodash.com/
signedsource,75450,49,1509.0,unknown,1,,"",
hexoid,75127,32,2276.6,lukeed,1,,https://github.com/lukeed/hexoid,https://github.com/lukeed/hexoid#readme
@jimp/plugin-circle,75028,17,4168.2,jimp-dev,2,jimp,"",
@jimp/plugin-threshold,75019,10,6819.9,jimp-dev,2,jimp,"",
@jimp/plugin-fisheye,75017,3,18754.3,jimp-dev,2,jimp,"",
@jimp/plugin-shadow,75016,4,15003.2,jimp-dev,2,jimp,"",
detect-node-es,74999,29,2500.0,theKashey,1,,https://github.com/thekashey/detect-node,https://github.com/thekashey/detect-node
debug-fabulous,74966,33,2204.9,nmccready,1,,https://github.com/brickhouse-tech/debug-fabulous,https://github.com/brickhouse-tech/debug-fabulous#readme
deferred-leveldown,74963,46,1595.0,Level,3,,https://github.com/Level/deferred-leveldown,https://github.com/Level/deferred-leveldown
coverage-istanbul-loader,74573,69,1065.3,JS-DevTools,1,,https://github.com/JS-DevTools/coverage-istanbul-loader,https://jstools.dev/coverage-istanbul-loader
@sentry/hub,74431,49,1488.6,getsentry,11,sentry,https://github.com/getsentry/sentry-javascript,https://github.com/getsentry/sentry-javascript/tree/master/packages/hub
@expo/config,74387,73,1005.2,expo,28,expo,https://github.com/expo/expo,https://github.com/expo/expo/tree/main/packages/@expo/config#readme
@mikaelkristiansson/domready,74268,8,8252.0,mikaelkristiansson,1,mikaelkristiansson,https://github.com/mikaelkristiansson/domready,https://github.com/mikaelkristiansson/domready
@aws-sdk/util-hex-encoding,74236,39,1855.9,aws,5,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/util-hex-encoding
@aws-sdk/is-array-buffer,73950,20,3521.4,aws,5,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/is-array-buffer
get-assigned-identifiers,73935,12,5687.3,goto-bus-stop,1,,https://github.com/goto-bus-stop/get-assigned-identifiers,https://github.com/goto-bus-stop/get-assigned-identifiers
@aws-sdk/util-buffer-from,73915,17,4106.4,aws,2,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/util-buffer-from
@expo/config-types,73820,48,1506.5,expo,27,expo,https://github.com/expo/expo,https://github.com/expo/expo/tree/main/packages/@expo/config-types#readme
@nuxtjs/opencollective,73739,26,2731.1,nuxt-contrib,6,nuxtjs,https://github.com/nuxt-contrib/opencollective,https://github.com/nuxt-contrib/opencollective#readme
wrap-fn,73555,40,1794.0,matthewmueller,2,,https://github.com/matthewmueller/wrap-fn,https://github.com/matthewmueller/wrap-fn#readme
tick,73538,18,3870.4,sidorares,1,,https://github.com/sidorares/node-tick,http://github.com/sidorares/node-tick
@expo/plist,73365,23,3056.9,expo,27,expo,https://github.com/expo/expo,https://github.com/expo/expo/tree/main/packages/@expo/plist#readme
web3-providers-ipc,73311,68,1062.5,web3,2,,https://github.com/ChainSafe/web3.js,https://github.com/ChainSafe/web3.js#readme
ylru,73208,49,1464.2,node-modules,3,,https://github.com/node-modules/ylru,https://github.com/node-modules/ylru
