name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
block-buffer,42994,40,1048.6,RustCrypto,1,71,438
scratch,8357,7,1044.6,dtolnay,1,1,76
option-ext,2079,1,1039.5,soc,1,,5
dyn-clonable-impl,2075,1,1037.5,kardeiz,1,,35
servo_arc,5146,4,1029.2,servo,2,,215
iana-time-zone,15342,14,1022.8,strawlab,2,14,46
bevy_reflect_derive,2024,1,1012.0,bevyengine,1,722,33412
ciborium-ll,3013,2,1004.3,enarx,1,39,340
sqlx-macros,2995,2,998.3,launchbadge,2,470,16206
d3d12,3966,3,991.5,gfx-rs,3,484,15605
inplace_it,2960,2,986.7,NotIntMan,1,5,17
color_quant,18726,18,985.6,image-rs,2,6,35
actix-web-codegen,5904,5,984.0,actix,1,379,20463
standback,6880,6,982.9,jhpratt,1,,21
plotters-svg,4861,4,972.2,plotters-rs,2,108,4348
tauri-runtime-wry,4861,4,972.2,tauri-apps,1,361,84114
parking,12564,12,966.5,smol-rs,1,8,79
ordered-stream,2875,2,958.3,danieldg,2,,11
wyz,9407,9,940.7,myrrlyn,1,,25
zeroize_derive,8438,8,937.6,RustCrypto,1,71,438
borsh-derive-internal,3743,3,935.8,near,1,28,565
atk,5532,5,922.0,gtk-rs,3,232,497
kqueue-sys,2686,2,895.3,rust-kqueue,1,,1
crypto-common,36637,40,893.6,RustCrypto,1,63,559
sharded-slab,18640,20,887.6,hawkw,1,7,302
futures-task,46835,52,883.7,rust-lang,2,333,5395
build_const,3511,3,877.8,vitiral,1,,3
gpu-descriptor,3507,3,876.8,zakarumych,1,7,32
unic-common,2619,2,873.0,open-i18n,1,8,243
alloc-no-stdlib,7812,8,868.0,dropbox,1,3,175
encoding-index-korean,2589,2,863.0,lifthrasiir,1,37,286
rayon-core,26750,30,862.9,rayon-rs,2,156,10978
autocfg,92236,107,854.0,cuviper,2,9,95
endian-type,2550,2,850.0,Lolirofle,1,,2
gdkx11-sys,5060,5,843.3,gtk-rs,3,232,497
winapi-build,28664,33,843.1,retep998,1,166,1920
embed_plist,4867,5,811.2,nvzqz,1,,42
tauri-runtime,4862,5,810.3,tauri-apps,1,420,98375
criterion-plot,5662,6,808.9,bheisler,3,103,4170
nibble_vec,2402,2,800.7,michaelsproul,1,,5
tao-macros,3197,3,799.3,tauri-apps,1,400,1406
hmac-drbg,5585,6,797.9,,1,,
lexical-parse-integer,2381,2,793.7,Alexhuszagh,1,19,279
brotli-sys,3111,3,777.8,bitemyapp,1,,28
ndk-context,16174,20,770.2,rust-mobile,1,,1243
colorchoice,5386,6,769.4,rust-cli,1,31,149
lexical-write-integer,2290,2,763.3,Alexhuszagh,1,27,344
