name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
libtiff,1940,16,114.1,libtiff,0,95,93
sphinxcontrib-applehelp,228,1,114.0,sphinx-doc,0,9,3
libtool,228,1,114.0,,0,,
parso,1364,11,113.7,davidhalter,0,48,662
pyqt5-sip,227,1,113.5,,0,,
hdf4,332,2,110.7,,0,,
graphviz,551,4,110.2,graphviz,0,141,1410
terminado,1098,9,109.8,,0,,
xorg-renderproto,329,2,109.7,,0,,
keras-preprocessing,329,2,109.7,keras-team,0,,1025
tzdata,984,8,109.3,eggert,0,36,1703
imagesize,325,2,108.3,shibukawa,0,16,241
mock,325,2,108.3,testing-cabal,0,102,537
cython,1295,11,107.9,cython,0,541,10360
ptyprocess,1182,10,107.5,pexpect,0,17,230
libbrotlicommon,320,2,106.7,google,0,110,14346
lerc,533,4,106.6,Esri,0,29,201
ipywidgets,2873,26,106.4,jupyter-widgets,0,232,3274
matplotlib-inline,531,4,106.2,ipython,0,25,27
alabaster,316,2,105.3,sphinx-doc,0,38,762
libcxxabi,314,2,104.7,llvm,0,5333,35102
jdcal,208,1,104.0,phn,0,,33
qtconsole,728,6,104.0,jupyter,0,,356
breathe,311,2,103.7,breathe-doc,0,118,786
idna,1554,14,103.6,kjd,0,28,266
chardet,1035,9,103.5,chardet,0,52,2290
pywinpty,207,1,103.5,andfoy,0,,81
winpty,207,1,103.5,rprichard,0,,1182
boto,206,1,103.0,boto,0,683,6452
libogg,205,1,102.5,xiph,0,,289
expat,1327,12,102.1,libexpat,0,107,1252
tensorboard-plugin-wit,204,1,102.0,PAIR-code,0,,789
libvorbis,202,1,101.0,,0,,
fonttools,504,4,100.8,fonttools,0,144,4873
tensorflow-estimator,301,2,100.3,tensorflow,0,4341,192241
